,Extracted Bedrooms,Extracted area,Extracted Bathrooms,Extracted Area_JHB,Extracted listing agency,Extracted Type,Extracted Available Month,RandomForestRegressor,DecisionTreeRegressor,XGBRegressor,id
37,2.0,0.0,0.0,72,58,1,9,10121.5,5500.0,8158.76,20193079.0
38,2.0,50.0,0.0,72,58,1,9,7407.485,4200.0,6128.516,20193089.0
39,2.0,0.0,0.0,72,58,1,9,10121.5,5500.0,8158.76,20193097.0
40,2.0,0.0,0.0,72,58,1,9,10121.5,5500.0,8158.76,20193111.0
41,1.0,0.0,1.0,18,52,0,7,7794.8,8750.0,7863.557,20192221.0
42,2.0,130.0,0.0,72,58,1,9,17321.5,5800.0,15250.093,20192222.0
43,1.0,96.0,1.5,47,16,0,3,14974.0,15000.0,12206.684,20192224.0
44,2.0,110.0,1.0,30,85,2,8,13680.2,1790.0,14127.082,20192225.0
45,2.0,0.0,2.5,94,36,0,0,19370.5,15500.0,13978.56,20192226.0
46,2.0,0.0,0.0,72,58,1,9,10121.5,5500.0,8158.76,20192230.0
47,2.0,33.0,0.0,72,58,1,9,6321.95,6000.0,3944.0366,20192231.0
48,2.0,42.0,0.0,100,0,2,9,5445.15,4500.0,5719.055,20192232.0
49,2.0,0.0,2.0,23,97,0,0,11975.97,20000.0,11285.014,20192233.0
50,2.0,0.0,0.0,72,58,1,9,10121.5,5500.0,8158.76,20192234.0
51,2.0,0.0,0.0,72,0,1,9,5392.05,5300.0,4878.003,20192235.0
52,2.0,20.0,0.0,72,58,1,9,4436.885,2198.5,3091.1487,20192236.0
53,1.0,0.0,1.0,40,103,0,0,9524.6,12000.0,6981.048,20192237.0
54,3.0,229.0,3.0,85,101,2,0,16312.76,11000.0,12627.173,20192238.0
55,3.0,0.0,3.0,75,90,0,7,23975.0,27000.0,24043.129,20192239.0
56,2.0,0.0,0.0,72,58,1,9,10121.5,5500.0,8158.76,20192241.0
57,1.0,0.0,1.0,41,52,0,7,6744.9,8750.0,7091.271,20192243.0
58,0.5,0.0,1.0,41,35,0,0,4261.81,3275.0,5210.7173,20192245.0
59,2.0,40.0,0.0,72,1,1,9,5717.3,5625.0,4647.45,20192246.0
60,3.0,0.0,2.0,56,34,0,4,16722.0,11000.0,15116.677,20192247.0
61,1.0,40.0,1.0,45,83,2,3,5933.03,6000.0,5122.1255,20192248.0
62,2.0,0.0,1.0,40,103,0,0,11792.7,7000.0,8617.538,20192249.0
63,2.0,0.0,1.0,63,17,0,8,10233.15,9000.0,8294.159,20192250.0
64,2.0,0.0,0.0,72,58,1,9,10121.5,5500.0,8158.76,20192251.0
65,2.0,0.0,2.0,22,34,0,4,18767.0,14000.0,17815.219,20192252.0
66,2.0,0.0,2.0,5,72,2,7,15978.5,12000.0,13562.584,20192253.0
67,3.0,0.0,2.0,70,67,2,8,13807.52,8000.0,7550.819,20192254.0
68,2.0,0.0,0.0,72,58,1,9,10121.5,5500.0,8158.76,20192255.0
69,2.0,0.0,0.0,72,116,1,9,7856.495,6925.0,9605.819,20192257.0
70,3.0,179.0,2.0,47,46,0,8,19247.0,30000.0,12364.526,20192258.0
71,2.0,0.0,2.0,102,100,0,3,14518.0,9500.0,13410.462,20192260.0
72,2.0,31.0,0.0,72,58,1,9,5874.71,6000.0,3753.8806,20192261.0
73,1.0,50.0,1.0,8,93,0,7,5830.1,4000.0,5052.701,20192262.0
74,1.0,38.0,1.0,82,83,0,0,5562.63,6500.0,5029.391,20192264.0
75,3.0,0.0,3.5,57,83,0,0,42806.5,55000.0,27980.328,20192265.0
76,1.0,55.0,1.0,47,83,0,3,6987.5,7000.0,5502.6235,20192266.0
77,2.0,0.0,0.0,72,58,1,9,10121.5,5500.0,8158.76,20192267.0
78,2.0,0.0,1.0,95,35,0,8,11579.4,14000.0,8243.658,20192269.0
